"Name","Pos","Age","Team","GP","G","A","PTS","+/-","PIM","PPG","PPP","SOG","PTS/G","NHLe"
"RYAN SCHMELZER","C","32.9","Utica Comets","66","4","24","28","-2","44","0","5","89","0.42","17"
"ZACH L'HEUREUX","L","23.1","Milwaukee Admirals","30","14","14","28","-3","65","6","12","81","0.93","37"
"CLARK BISHOP","C","30.3","Calgary Wranglers","72","14","13","27","-7","63","1","1","110","0.38","15"
"CURTIS MCKENZIE","F","35.4","Texas Stars","72","10","17","27","-3","71","0","1","80","0.38","15"
"ETHAN BEAR","D","29.0","Bridgeport Islanders","40","4","23","27","5","14","1","10","36","0.68","27"
"ETHAN GAUTHIER","R","21.4","Syracuse Crunch","56","12","15","27","5","10","4","9","68","0.48","19"
"FILIP MESAR","R","22.5","Laval Rocket","71","9","18","27","1","26","0","5","97","0.38","15"
"IAN MITCHELL","D","27.4","Syracuse Crunch","60","4","23","27","30","12","0","7","104","0.45","18"
"LUCAS MERCURI","C","24.3","Syracuse Crunch","67","14","13","27","17","132","2","4","99","0.40","16"
"MARC DEL GAIZO","D","26.7","Laval Rocket","63","9","18","27","23","38","1","5","127","0.43","17"
"MITCHELL STEPHENS","F","29.4","Coachella Valley Firebirds","69","12","15","27","-17","22","0","3","124","0.39","16"
"TIM WASHE","F","24.8","San Diego Gulls","40","13","14","27","1","28","2","10","89","0.68","27"
"TOPIAS VILEN","D","23.2","Utica Comets","61","4","23","27","2","24","2","10","62","0.44","18"
"TUCKER ROBERTSON","F","23.0","Lehigh Valley Phantoms","63","13","14","27","3","41","1","1","84","0.43","17"
"TYLER ANGLE","R","25.7","Grand Rapids Griffins","62","6","21","27","17","24","0","1","82","0.44","17"
"ZAYDE WISDOM","C","24.0","Lehigh Valley Phantoms","70","14","13","27","5","23","0","0","120","0.39","15"
"ALEX BUMP","F","22.6","Lehigh Valley Phantoms","36","11","15","26","-2","22","2","9","116","0.72","29"
"BRAEDEN BOWMAN","F","23.0","Henderson Silver Knights","20","12","14","26","12","6","2","6","32","1.30","52"
"CAM LUND","F","22.1","San Jose Barracuda","41","9","17","26","-2","12","1","8","96","0.63","25"
"CHASE WOUTERS","C","26.4","Abbotsford Canucks","70","11","15","26","-24","76","3","9","116","0.37","15"
"EDUARD SALE","F","21.3","Coachella Valley Firebirds","58","13","13","26","-8","14","3","5","90","0.45","18"
"GAVIN BAYREUTHER","D","32.1","Rochester Americans","63","5","21","26","4","41","1","5","121","0.41","16"
"GAVIN HAYES","F","22.1","Rockford IceHogs","57","13","13","26","-13","14","2","6","111","0.46","18"
"IVAN IVAN","F","23.9","Colorado Eagles","66","11","15","26","5","40","0","0","130","0.39","16"
"JACKSON HALLUM","F","23.8","Henderson Silver Knights","69","10","16","26","9","46","0","1","82","0.38","15"
"JAGGER JOSHUA","L","27.3","Rochester Americans","71","8","18","26","-8","101","3","5","119","0.37","15"
"JONAS RøNDBJERG","F","27.2","Henderson Silver Knights","43","13","13","26","16","12","3","5","107","0.60","24"
"JONATHAN GRUDEN","C","26.2","Utica Comets","67","12","14","26","3","59","2","2","80","0.39","15"
"JOONA KOPPANEN","C","28.3","Wilkes-Barre/Scranton Penguins","44","8","18","26","22","12","0","0","56","0.59","24"
"KEVIN KORCHINSKI","D","22.0","Rockford IceHogs","57","2","24","26","-22","48","1","9","61","0.46","18"
"LUCAS CARLSSON","D","29.0","San Jose Barracuda","58","12","14","26","4","30","5","7","145","0.45","18"
"MARC JOHNSTONE","R","30.0","Toronto Marlies","57","9","17","26","5","52","1","1","69","0.46","18"
"MATTHEW BARBOLINI","F","26.1","Toronto Marlies","62","9","17","26","-9","14","0","0","55","0.42","17"
"MATYAS MELOVSKY","F","22.1","Utica Comets","55","10","16","26","-1","31","5","13","65","0.47","19"
"MAX SZUBER","D","23.8","Tucson Roadrunners","65","11","15","26","2","67","2","6","107","0.40","16"
"PARKER FORD","R","25.9","Manitoba Moose","52","8","18","26","5","24","1","1","95","0.50","20"
"ROLAND MCKEOWN","D","30.4","San Diego Gulls","71","5","21","26","-20","44","1","11","109","0.37","15"
"SAMUEL SAVOIE","F","22.3","Rockford IceHogs","62","12","14","26","-4","47","1","2","96","0.42","17"
"TREY TAYLOR","D","24.4","Texas Stars","70","8","18","26","-1","34","1","5","95","0.37","15"
"TYLER BOUCHER","R","23.5","Belleville Senators","47","12","14","26","7","68","0","1","80","0.55","22"
"ALEXIS GENDRON","F","22.5","Providence Bruins","57","11","14","25","-17","50","4","9","142","0.44","17"
"BORIS KATCHOUK","L","28.0","Lehigh Valley Phantoms","46","11","14","25","-8","22","2","4","58","0.54","22"
"BORYA VALIS","F","22.2","Toronto Marlies","60","15","10","25","-6","41","3","6","115","0.42","17"
"BRYCE MCCONNELL-BARKER","F","22.1","Hartford Wolf Pack","69","14","11","25","-15","22","5","7","99","0.36","14"
"DAYLAN KUEFLER","F","24.4","Bridgeport Islanders","67","10","15","25","4","64","2","2","100","0.37","15"
"DYLAN ROOBROECK","F","21.9","Hartford Wolf Pack","72","10","15","25","-17","90","3","5","140","0.35","14"
"HUNTER MCKOWN","C","23.9","Cleveland Monsters","63","9","16","25","-12","38","0","0","87","0.40","16"
"JACK THOMPSON","D","24.3","Abbotsford Canucks","56","6","19","25","15","20","1","5","106","0.45","18"
"JARED DAVIDSON","F","24.0","Laval Rocket","53","16","9","25","3","59","5","7","111","0.47","19"
"JAROSLAV CHMELAR","F","22.9","Hartford Wolf Pack","46","8","17","25","-7","42","1","3","80","0.54","22"
"JOSIAH SLAVIN","L","27.5","Chicago Wolves","69","6","19","25","1","26","0","0","71","0.36","14"
"JUSTIN PEARSON","L","28.1","Cleveland Monsters","56","12","13","25","8","39","0","0","94","0.45","18"
"KALE CLAGUE","D","28.1","Manitoba Moose","67","9","16","25","-15","38","1","6","143","0.37","15"
"LASSI THOMSON","D","25.8","Belleville Senators","55","14","11","25","1","54","2","3","116","0.45","18"
"LENNI HAMEENAHO","F","21.6","Utica Comets","37","9","16","25","-11","12","3","11","76","0.68","27"
"NICK CICEK","D","26.1","Calgary Wranglers","70","7","18","25","-10","119","0","0","79","0.36","14"
"RILEY HEIDT","C","21.3","Iowa Wild","71","8","17","25","-14","38","0","4","61","0.35","14"
"ROMAN AHCAN","L","27.3","Cleveland Monsters","67","16","9","25","4","81","0","0","118","0.37","15"
"TREVOR CARRICK","D","32.0","Charlotte Checkers","59","5","20","25","13","69","1","6","134","0.42","17"
"ALEX SUZDALEV","R","22.3","Hershey Bears","41","10","14","24","-1","4","1","5","43","0.59","23"
"ARSHDEEP BAINS","L","25.5","Abbotsford Canucks","34","11","13","24","-1","22","2","3","82","0.71","28"
"AUSTIN WATSON","R","34.5","Grand Rapids Griffins","62","12","12","24","2","146","3","6","96","0.39","15"
"AYDAR SUNIEV","L","21.6","Calgary Wranglers","57","16","8","24","-28","14","7","8","92","0.42","17"
"CORSON CEULEMANS","D","23.2","Cleveland Monsters","64","8","16","24","-14","43","0","0","151","0.38","15"
"DANNY ZHILKIN","C","22.5","Manitoba Moose","62","12","12","24","-11","21","1","2","131","0.39","15"
"DYLAN PETERSON","F","24.5","Springfield Thunderbirds","57","12","12","24","-13","85","0","0","72","0.42","17"
"J.R. AVON","F","23.0","Coachella Valley Firebirds","45","10","14","24","3","12","1","3","70","0.53","21"
"JEAN-LUC FOUDY","R","24.1","Iowa Wild","68","5","19","24","-12","32","2","5","100","0.35","14"
"JOHN HAYDEN","F","31.4","Coachella Valley Firebirds","67","12","12","24","-7","127","1","1","114","0.36","14"
"KARSEN DORWART","F","23.8","Lehigh Valley Phantoms","70","10","14","24","-12","20","5","7","100","0.34","14"
"KEVIN ROONEY","C","33.1","Tucson Roadrunners","44","12","12","24","-3","8","4","7","77","0.55","22"
"KOEHN ZIEMMER","F","21.6","Ontario Reign","57","11","13","24","10","27","2","3","81","0.42","17"
"MAXENCE GUENETTE","D","25.2","Lehigh Valley Phantoms","46","2","22","24","-6","19","0","6","65","0.52","21"
"NIKOLAS BROUILLARD","D","31.4","San Diego Gulls","67","4","20","24","4","59","0","3","101","0.36","14"
"OLIVIER NADEAU","R","23.5","Rochester Americans","56","12","12","24","-9","20","4","7","93","0.43","17"
"PATRICK GILES","F","26.5","San Jose Barracuda","67","10","14","24","-14","14","0","1","126","0.36","14"
"TAYLOR MAKAR","F","25.3","Colorado Eagles","52","14","10","24","12","56","1","1","92","0.46","18"
"TRISTAN ALLARD","C","24.0","Syracuse Crunch","70","7","17","24","-4","71","0","1","90","0.34","14"
"TRISTAN BERTUCCI","D","21.0","Texas Stars","63","5","19","24","7","53","1","6","77","0.38","15"
"VIKTOR NEUCHEV","R","22.7","Chicago Wolves","64","10","14","24","-3","16","3","9","103","0.38","15"
"BRENNAN OTHMANN","L","23.5","Calgary Wranglers","40","9","14","23","-15","62","1","5","77","0.58","23"
"BRETT CHORSKE","F","25.1","Charlotte Checkers","62","11","12","23","1","14","0","1","76","0.37","15"
"CASEY FITZGERALD","D","29.3","Hartford Wolf Pack","71","4","19","23","-5","85","1","3","97","0.32","13"
"DAVID JIRICEK","D","22.6","Lehigh Valley Phantoms","39","4","19","23","-22","25","2","8","103","0.59","24"
"DAVID REINBACHER","D","21.7","Laval Rocket","57","5","18","23","18","56","0","6","86","0.40","16"
"ETHAN EDWARDS","D","24.1","Utica Comets","69","10","13","23","-6","69","0","1","92","0.33","13"
"GRACYN SAWCHYN","C","21.4","Charlotte Checkers","35","6","17","23","12","12","1","7","44","0.66","26"
"HUNTER DREW","R","27.7","Bridgeport Islanders","62","12","11","23","-4","141","5","7","102","0.37","15"
"ISAAC RATCLIFFE","L","27.4","Milwaukee Admirals","58","9","14","23","3","61","2","5","91","0.40","16"
"JAKE SCHMALTZ","C","25.2","Providence Bruins","64","9","14","23","9","10","0","0","69","0.36","14"
"JUUSO VALIMAKI","D","27.7","Chicago Wolves","27","7","16","23","5","12","2","8","47","0.85","34"
"KEVIN LOMBARDI","F","27.9","Rockford IceHogs","45","13","10","23","-1","34","4","7","90","0.51","20"
"NOAH CHADWICK","D","21.1","Toronto Marlies","68","5","18","23","-2","38","0","5","77","0.34","13"
"RHETT PITLICK","R","25.4","Bakersfield Condors","60","8","15","23","-7","26","0","2","55","0.38","15"
"SEAN BEHRENS","D","23.2","Colorado Eagles","55","5","18","23","9","22","0","3","52","0.42","17"
"SHANE LACHANCE","F","22.8","Utica Comets","62","9","14","23","-19","18","4","8","98","0.37","15"
"STIAN SOLBERG","D","20.5","San Diego Gulls","71","12","11","23","-16","102","2","4","126","0.32","13"
"TANNER MOLENDYK","D","21.4","Milwaukee Admirals","60","4","19","23","-10","14","0","6","66","0.38","15"
"TY TULLIO","R","24.2","Tucson Roadrunners","50","9","14","23","6","38","0","1","81","0.46","18"
"WYATT AAMODT","D","28.6","Colorado Eagles","65","4","19","23","28","34","0","1","105","0.35","14"
"AIDAN THOMPSON","F","24.4","Hartford Wolf Pack","58","8","14","22","-10","22","0","2","98","0.38","15"
"AKIL THOMAS","F","26.5","Springfield Thunderbirds","39","9","13","22","-6","16","1","6","59","0.56","22"
"BEN GLEASON","D","28.3","Iowa Wild","59","2","20","22","-20","23","1","7","85","0.37","15"
"CEDRIC PARE","F","27.4","Toronto Marlies","62","7","15","22","-6","51","3","5","77","0.35","14"
"DAMIEN CARFAGNA","D","23.5","Bakersfield Condors","66","7","15","22","17","24","2","3","106","0.33","13"
"DAVID EDSTROM","C","21.4","Milwaukee Admirals","53","8","14","22","8","28","2","4","66","0.42","17"
"HENRY THRUN","D","25.3","Toronto Marlies","55","5","17","22","-2","37","1","4","79","0.40","16"
"JAKE LESCHYSHYN","C","27.3","Rochester Americans","66","13","9","22","-17","22","7","10","79","0.33","13"
"JAN MYSAK","C","24.0","San Diego Gulls","56","10","12","22","3","31","2","2","125","0.39","16"
"JOEY ABATE","L","27.8","Providence Bruins","65","8","14","22","11","96","1","1","108","0.34","13"
"JOEY WILLIS","L","21.3","Milwaukee Admirals","56","8","14","22","-10","18","1","8","78","0.39","16"
"MATT STROME","C","27.5","Hershey Bears","55","8","14","22","0","30","1","3","63","0.40","16"
"RONAN SEELEY","D","23.9","Chicago Wolves","69","11","11","22","-8","8","2","5","99","0.32","13"
"WILL BUTCHER","D","31.5","Cleveland Monsters","62","3","19","22","-18","12","1","8","77","0.35","14"
"BRETT BERARD","F","23.8","Hartford Wolf Pack","41","7","14","21","-15","53","2","6","124","0.51","20"
"BRETT HARRISON","R","23.0","Lehigh Valley Phantoms","58","10","11","21","2","8","3","5","59","0.36","14"
"CHRIS TERRY","F","37.2","Bridgeport Islanders","56","9","12","21","-4","21","1","6","80","0.38","15"
"FINN HARDING","D","21.3","Wilkes-Barre/Scranton Penguins","54","4","17","21","31","42","0","0","63","0.39","15"
"GABRIEL SEGER","L","26.6","Grand Rapids Griffins","70","8","13","21","12","20","1","1","71","0.30","12"
"JASON POLIN","F","27.0","Colorado Eagles","46","10","11","21","3","10","3","5","100","0.46","18"
"JOE HICKETTS","D","30.2","Ontario Reign","67","4","17","21","1","61","1","6","90","0.31","12"
"JORIAN DONOVAN","D","22.2","Belleville Senators","61","4","17","21","-14","89","0","0","47","0.34","14"
"JUSTIN KIRKLAND","C","29.9","Calgary Wranglers","42","11","10","21","-10","32","6","7","96","0.50","20"
"MAXIM GROSHEV","D","24.5","Syracuse Crunch","58","3","18","21","16","22","0","4","100","0.36","14"
"MIKE HARDMAN","L","27.4","Utica Comets","58","11","10","21","-11","12","5","7","118","0.36","14"
"NOEL NORDH","F","21.4","Tucson Roadrunners","60","6","15","21","-9","10","2","6","46","0.35","14"
"NOLAN ALLAN","D","23.2","San Jose Barracuda","64","4","17","21","-12","67","0","3","76","0.33","13"
"RIESE GABER","F","26.7","Charlotte Checkers","49","9","12","21","11","38","0","2","56","0.43","17"
"SAWYER MYNIO","D","21.2","Abbotsford Canucks","58","3","18","21","-18","42","1","11","81","0.36","14"
"TAYLOR WARD","F","28.2","Ontario Reign","32","12","9","21","1","23","3","6","76","0.66","26"
"THOMAS BORDELEAU","F","24.5","Springfield Thunderbirds","60","9","12","21","-20","53","3","6","85","0.35","14"
"VILLE HEINOLA","D","25.3","Manitoba Moose","44","3","18","21","-2","24","0","5","89","0.48","19"
"WILLIAM LAGESSON","D","30.4","Grand Rapids Griffins","61","3","18","21","33","36","0","1","95","0.34","14"
"CAEDAN BANKIER","C","23.4","Iowa Wild","66","10","10","20","-13","18","2","5","121","0.30","12"
"CAM BERG","F","24.4","Bridgeport Islanders","53","8","12","20","-9","30","0","1","69","0.38","15"
"CAM DINEEN","D","28.0","Bakersfield Condors","40","3","17","20","-4","22","0","4","92","0.50","20"
"JONATHAN LEKKERIMAKI","R","21.9","Abbotsford Canucks","21","13","7","20","5","8","3","5","73","0.95","38"
"KIRILL KUDRYAVTSEV","D","22.4","Abbotsford Canucks","44","2","18","20","-15","4","0","10","57","0.45","18"
"MARC-ANDRE GAUDET","D","22.7","Springfield Thunderbirds","53","6","14","20","-12","12","3","7","82","0.38","15"
"MATT DUMBA","D","31.9","Wilkes-Barre/Scranton Penguins","27","6","14","20","3","43","1","4","50","0.74","30"
"NATHAN LEGARE","R","25.5","Utica Comets","65","13","7","20","-9","76","0","0","119","0.31","12"
"SCOTT MORROW","D","23.7","Hartford Wolf Pack","34","5","15","20","-16","69","1","8","92","0.59","23"
"TUOMAS URONEN","F","21.3","Henderson Silver Knights","57","12","8","20","2","34","2","3","101","0.35","14"
"TY GALLAGHER","D","23.3","Providence Bruins","43","7","13","20","6","26","0","0","67","0.47","19"
"WILLIAM TRUDEAU","D","23.7","Laval Rocket","62","8","12","20","3","54","0","0","106","0.32","13"
"ALEKSI HEIMOSALMI","D","23.1","Chicago Wolves","52","4","15","19","10","40","0","2","58","0.37","15"
"ANGUS BOOTH","D","22.2","Ontario Reign","61","1","18","19","12","40","0","0","47","0.31","12"
"ARTTU HYRY","C","25.2","Texas Stars","27","9","10","19","-1","13","2","4","61","0.70","28"
"CARSON LAMBOS","D","23.5","Iowa Wild","70","8","11","19","-4","48","0","0","111","0.27","11"
"CARSON REHKOPF","F","21.5","Coachella Valley Firebirds","69","14","5","19","-4","24","1","2","99","0.28","11"
"DANTON HEINEN","L","31.0","Cleveland Monsters","13","6","13","19","10","6","3","5","22","1.46","58"
"GABRIEL SZTURC","C","22.8","Syracuse Crunch","60","9","10","19","-2","22","3","3","62","0.32","13"
"GUILLAUME RICHARD","D","23.4","Cleveland Monsters","70","7","12","19","20","20","0","0","85","0.27","11"
"JACK RATHBONE","D","27.1","Rochester Americans","49","5","14","19","-17","26","0","6","96","0.39","15"
"JACOB MELANSON","F","23.2","Coachella Valley Firebirds","28","9","10","19","9","28","1","1","65","0.68","27"
"JAKUB STANCL","F","21.2","Springfield Thunderbirds","60","9","10","19","-15","14","1","4","74","0.32","13"
"LUKAS REICHEL","C","24.1","Providence Bruins","27","7","12","19","4","0","0","6","39","0.70","28"
"MAVERIC LAMOUREUX","D","22.5","Tucson Roadrunners","65","5","14","19","8","75","0","0","105","0.29","12"
"NIKITA NOVIKOV","D","22.9","Ontario Reign","64","6","13","19","12","52","0","0","63","0.30","12"
"OLIVER BONK","D","21.5","Lehigh Valley Phantoms","46","6","13","19","-14","22","2","6","66","0.41","16"
"OWEN ALLARD","F","22.5","Tucson Roadrunners","69","8","11","19","-6","16","0","0","79","0.28","11"
"RILEY DURAN","R","24.4","Providence Bruins","72","7","12","19","19","22","0","0","115","0.26","11"
"RYAN JOHNSON","D","24.9","Rochester Americans","56","5","14","19","-12","40","1","1","78","0.34","14"
"SCOTT HARRINGTON","D","33.3","Belleville Senators","68","3","16","19","-10","29","0","2","53","0.28","11"
"WILLIAM WALLINDER","D","23.9","Grand Rapids Griffins","67","2","17","19","22","23","0","3","75","0.28","11"
"CAL FOOTE","D","27.5","Chicago Wolves","48","4","14","18","10","20","0","0","61","0.38","15"
"CONNOR MACKEY","D","29.8","Hartford Wolf Pack","62","5","13","18","-13","87","0","4","124","0.29","12"
"DANIEL D'AMATO","L","25.2","Bakersfield Condors","68","7","11","18","1","30","0","0","95","0.26","11"
"ETHAN SAMSON","D","22.9","Syracuse Crunch","40","5","13","18","4","24","0","1","84","0.45","18"
"GRANT CRUIKSHANK","C","27.9","Hershey Bears","67","10","8","18","-14","45","0","0","110","0.27","11"
"HUDSON FASCHING","R","30.9","Cleveland Monsters","65","7","11","18","-5","12","0","0","83","0.28","11"
"HUNTER SKINNER","D","25.2","Springfield Thunderbirds","60","7","11","18","1","61","0","1","109","0.30","12"
"ISAIAH GEORGE","D","22.4","Bridgeport Islanders","47","2","16","18","9","20","0","2","50","0.38","15"
"JACK HUGHES","F","22.7","Ontario Reign","60","5","13","18","0","26","1","3","46","0.30","12"
"JAMES MALATESTA","L","23.1","Cleveland Monsters","57","10","8","18","-1","87","0","1","103","0.32","13"
"JEREMIE POIRIER","D","24.1","Texas Stars","51","5","13","18","-17","33","0","5","88","0.35","14"
"JIMMY SCHULDT","D","31.1","Abbotsford Canucks","70","3","15","18","-22","59","1","4","119","0.26","10"
"JOHN FARINACCI","C","25.4","Providence Bruins","68","9","9","18","-5","8","1","3","95","0.26","11"
"JORDAN DUMAIS","R","22.2","Cleveland Monsters","46","7","11","18","-11","8","2","7","63","0.39","16"
"MAX JONES","L","28.4","Bakersfield Condors","39","10","8","18","3","61","3","4","81","0.46","18"
"MIKULAS HOVORKA","D","25.0","Charlotte Checkers","57","5","13","18","23","46","0","0","79","0.32","13"
"NICO MYATOVIC","L","21.6","San Diego Gulls","71","7","11","18","6","28","2","2","87","0.25","10"
"OSKAR PETTERSSON","R","24.4","Belleville Senators","69","9","9","18","-11","16","0","1","67","0.26","10"
"SEAMUS CASEY","D","22.5","Utica Comets","29","1","17","18","-12","13","1","10","49","0.62","25"
"TYSON HINDS","D","23.3","San Diego Gulls","62","5","13","18","16","21","0","0","91","0.29","12"
"BILLY SWEEZEY","D","30.4","Providence Bruins","69","1","16","17","21","84","0","0","77","0.25","10"
"CAM THIESING","F","25.3","Bridgeport Islanders","63","9","8","17","3","47","0","0","84","0.27","11"
"DYLAN ANHORN","D","27.4","Manitoba Moose","46","3","14","17","5","18","0","4","60","0.37","15"
"ETHAN DEL MASTRO","D","23.5","Rockford IceHogs","45","2","15","17","1","34","1","1","62","0.38","15"
"GABE PERREAULT","F","21.1","Hartford Wolf Pack","20","10","7","17","5","14","1","2","34","0.85","34"
"JAKE LIVINGSTONE","D","27.2","Charlotte Checkers","52","3","14","17","12","24","0","0","78","0.33","13"
"JAMIESON REES","L","25.3","Belleville Senators","61","5","12","17","-6","48","0","1","62","0.28","11"
"JAN JENIK","F","25.8","Ontario Reign","43","9","8","17","0","29","1","2","63","0.40","16"
"KEEAN WASHKURAK","C","24.9","Belleville Senators","62","9","8","17","-11","107","1","1","48","0.27","11"
"LUCAS CONDOTTA","L","28.6","Laval Rocket","70","8","9","17","5","94","1","1","73","0.24","10"
"MICHAL KUNC","F","25.7","Tucson Roadrunners","43","8","9","17","-5","10","0","2","52","0.40","16"
"NIKITA CHIBRIKOV","L","23.4","Manitoba Moose","53","6","11","17","-19","28","2","3","97","0.32","13"
"NOAH GREGOR","C","27.9","Charlotte Checkers","26","11","6","17","6","4","1","2","89","0.65","26"
"NOAH PHILP","C","27.8","Chicago Wolves","29","8","9","17","5","17","1","2","43","0.59","23"
"RILEY STILLMAN","D","28.3","Bakersfield Condors","51","3","14","17","-3","81","0","0","58","0.33","13"
"ROBBIE RUSSO","D","33.4","Tucson Roadrunners","59","5","12","17","-3","22","1","3","95","0.29","11"
"RONNIE ATTARD","D","27.3","Colorado Eagles","44","4","13","17","3","38","1","1","96","0.39","15"
"SEAN DAY","D","28.5","Bridgeport Islanders","61","3","14","17","-8","4","0","1","57","0.28","11"
"AARON HUGLEN","R","25.3","Wilkes-Barre/Scranton Penguins","50","6","10","16","-3","20","0","1","84","0.32","13"
"ANTHONY VINCENT","F","28.9","San Jose Barracuda","65","9","7","16","-6","111","0","0","121","0.25","10"
"ANTON BLIDH","F","31.3","Hartford Wolf Pack","64","8","8","16","-19","56","1","1","102","0.25","10"
"AUSTIN STRAND","D","29.4","Utica Comets","49","4","12","16","-7","47","0","0","68","0.33","13"
"CAM SQUIRES","F","21.2","Utica Comets","47","6","10","16","3","15","1","3","55","0.34","14"
"CARTER MAZUR","R","24.3","Grand Rapids Griffins","16","11","5","16","4","14","2","3","34","1.00","40"
"CHASE PIETILA","D","22.3","Wilkes-Barre/Scranton Penguins","66","2","14","16","27","85","0","1","97","0.24","10"
"COLBY BARLOW","R","21.4","Manitoba Moose","65","8","8","16","-3","18","0","2","88","0.25","10"
"DENVER BARKEY","F","21.2","Lehigh Valley Phantoms","26","7","9","16","-2","20","2","5","46","0.62","25"
"LOGAN BROWN","F","28.3","Ontario Reign","31","1","15","16","4","8","1","9","34","0.52","21"
"LUCA MARRELLI","D","20.7","Cleveland Monsters","32","4","12","16","-14","10","4","13","54","0.50","20"
"LUKE KRYS","D","25.8","Texas Stars","40","7","9","16","1","30","0","0","50","0.40","16"
"LUKE TOPOROWSKI","R","25.2","Colorado Eagles","38","8","8","16","4","48","2","3","63","0.42","17"
"MICHAEL CALLAHAN","D","26.8","Providence Bruins","56","2","14","16","30","27","0","1","52","0.29","11"
"OTTO STENBERG","F","21.1","Springfield Thunderbirds","36","3","13","16","2","6","0","5","46","0.44","18"
"RYAN CHESLEY","D","22.3","Hershey Bears","64","6","10","16","-18","18","1","3","88","0.25","10"
"TANNER HOWE","L","20.6","Wilkes-Barre/Scranton Penguins","27","8","8","16","6","43","0","1","39","0.59","24"
"TRAVIS MITCHELL","D","26.6","Bridgeport Islanders","58","1","15","16","3","87","0","0","75","0.28","11"
"TYLER THORPE","R","20.9","Laval Rocket","68","4","12","16","1","77","0","2","69","0.24","9"
"VILIAM KMEC","D","22.5","Henderson Silver Knights","65","4","12","16","12","27","0","0","77","0.25","10"
"VILLE OTTAVAINEN","D","23.9","Coachella Valley Firebirds","53","3","13","16","12","71","0","0","92","0.30","12"
"ZACH ASTON-REESE","L","31.9","Cleveland Monsters","27","8","8","16","3","32","1","1","51","0.59","24"
"ALEX KANNOK LEIPERT","D","25.9","Grand Rapids Griffins","64","2","13","15","14","51","0","0","56","0.23","9"
"CAL BURKE","C","29.3","San Diego Gulls","58","5","10","15","-8","4","2","2","70","0.26","10"
"CARL GRUNDSTROM","F","28.6","Lehigh Valley Phantoms","19","6","9","15","5","6","3","5","54","0.79","31"
"DMITRY KUZMIN","D","23.2","Rockford IceHogs","46","6","9","15","1","11","2","3","47","0.33","13"
"ETHAN CARDWELL","F","23.8","San Jose Barracuda","24","7","8","15","2","17","1","2","57","0.63","25"
"GARRETT WILSON","L","35.3","Lehigh Valley Phantoms","54","4","11","15","-2","101","0","0","57","0.28","11"
"JACK PEART","D","23.1","Iowa Wild","61","4","11","15","-22","24","1","4","70","0.25","10"
"JOE FLEMING","F","23.0","Henderson Silver Knights","60","4","11","15","-8","158","0","0","45","0.25","10"
"KYLE MARINO","R","31.1","Milwaukee Admirals","69","6","9","15","-3","174","1","1","76","0.22","9"
"MARTIN MISIAK","F","21.7","Rockford IceHogs","63","4","11","15","-6","29","0","1","63","0.24","9"
"MATT BENNING","D","32.1","Toronto Marlies","34","3","12","15","7","23","0","0","48","0.44","18"
"MATTIAS HAVELID","D","25.5","San Jose Barracuda","44","5","10","15","2","16","1","7","52","0.34","14"
"NATE DANIELSON","C","21.8","Grand Rapids Griffins","18","3","12","15","7","4","0","3","35","0.83","33"
"NIKITA NESTERENKO","L","24.8","San Diego Gulls","35","5","10","15","-7","22","0","0","46","0.43","17"
"OSCAR EKLIND","F","28.0","Lehigh Valley Phantoms","49","9","6","15","4","24","0","1","51","0.31","12"
"REESE JOHNSON","R","28.0","Toronto Marlies","47","6","9","15","-2","39","0","0","66","0.32","13"
"TYLER PITLICK","F","34.7","Iowa Wild","20","10","5","15","-6","0","3","4","44","0.75","30"
"ZACH METSA","D","27.7","Rochester Americans","19","2","13","15","4","4","1","5","38","0.79","31"
"ALEX DOUCET","L","24.5","Grand Rapids Griffins","53","8","6","14","9","14","0","0","44","0.26","11"
"ANDREI LOSHKO","F","21.7","Coachella Valley Firebirds","51","5","9","14","3","16","0","0","32","0.27","11"
"BRAD LAMBERT","F","22.5","Manitoba Moose","34","6","8","14","-10","18","2","3","68","0.41","16"
"CAREY TERRANCE","F","21.1","Hartford Wolf Pack","41","6","8","14","-2","30","0","0","45","0.34","14"
"CARTER KING","C","24.8","Calgary Wranglers","66","5","9","14","-12","8","0","1","68","0.21","8"
"DOMINIK BADINKA","D","20.6","Chicago Wolves","68","6","8","14","4","16","0","0","78","0.21","8"
"HELGE GRANS","D","24.1","Lehigh Valley Phantoms","61","3","11","14","-13","29","1","3","81","0.23","9"
"JUSTIN HOLL","D","34.4","Grand Rapids Griffins","41","2","12","14","19","10","0","0","41","0.34","14"
"KEATON MIDDLETON","D","28.4","Colorado Eagles","66","4","10","14","17","63","0","0","84","0.21","8"
"LUKE TUCH","L","24.3","Laval Rocket","68","9","5","14","3","82","0","0","69","0.21","8"
"MARC MCLAUGHLIN","F","26.9","Utica Comets","23","6","8","14","4","6","0","0","27","0.61","24"
"PIERRICK DUBE","R","25.5","Bridgeport Islanders","24","5","9","14","0","12","0","2","36","0.58","23"
"RYAN MAST","D","23.5","Rockford IceHogs","46","0","14","14","2","18","0","0","51","0.30","12"
"RYDER ROLSTON","F","24.7","Milwaukee Admirals","54","8","6","14","-1","12","0","2","113","0.26","10"
"SAM RINZEL","D","22.0","Rockford IceHogs","23","2","12","14","-8","16","1","4","68","0.61","24"
"SEBASTIAN AHO","D","30.4","Wilkes-Barre/Scranton Penguins","29","2","12","14","9","18","0","6","32","0.48","19"
